branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Altgeld,,,,316,230,331,404,249,294,583,568,419,355,268,280,4297
Garfield Ridge,,,,5079,4561,5600,4880,4483,5670,5967,5149,4944,5441,5147,4513,61434
Rogers Park,,,,9954,8866,10334,10420,10106,10935,11882,12265,10696,11163,10010,9515,126146
Merlo,,,,8128,7446,8751,7102,8065,7862,8108,8844,7964,8011,8356,6840,95477
Legler Regional,,,,1357,1038,1077,1095,857,1151,1153,1110,905,1007,972,798,12520
King,,,,2746,2109,2450,2208,2182,2560,2431,2769,2548,2854,2051,2019,28927
North Austin,,,,1518,1423,1635,1411,1297,1533,1840,1862,1578,1705,1414,629,17845
Uptown,,,,6838,6344,7281,6580,6452,7456,7847,8013,6839,6844,6731,5900,83125
Wrightwood-Ashburn,,,,2068,1911,2097,1907,1565,1929,1904,2074,1813,2052,1646,1507,22473
Harold Washington Library Center,,,,52985,47301,53412,49640,49826,51680,59485,60577,52602,54979,54575,47508,634570
Toman,,,,5869,4871,5638,5624,4001,4933,5440,5491,5666,6273,6077,5137,65020
West Belmont,,,,7802,6934,7883,6224,5858,6666,7520,6900,6807,6825,6878,5519,81816
"Daley, Richard J. - Bridgeport",,,,5851,5715,6000,5690,5138,5659,5683,5777,5578,5393,4973,4898,66355
Sherman Park,,,,910,740,832,816,635,713,1121,976,666,548,615,656,9228
Coleman,,,,3615,3041,3119,3074,2948,3025,3403,3706,3863,3760,3430,3111,40095
Oriole Park,,,,6040,5481,6021,5296,5806,6191,6601,6796,6354,6544,6122,4899,72151
Pullman,,,,1401,1326,1337,1295,1280,1221,1366,1419,1185,1249,1108,936,15123
Northtown,,,,7466,7048,7383,7538,7621,8868,9567,9469,7833,7785,7712,6637,94927
Water Works,,,,3923,3461,4287,3031,4159,4275,4418,4544,4134,4388,3868,3863,48351
Lincoln Belmont,,,,13221,12355,14291,12026,12559,13774,13653,13992,12539,12392,12800,10872,154474
Austin-Irving,,,,9530,8547,9921,9041,6817,9724,10551,10187,9265,9669,9117,7866,110235
Chinatown,,,,9934,9464,11314,11861,10338,10874,11284,11244,10857,10696,9571,9600,127037
North Pulaski,,,,3787,3269,3268,3163,2741,3073,3434,3015,2722,3407,2777,2586,37242
Brighton Park,,,,4534,4034,5210,4946,3816,4339,5073,4957,4635,5483,5028,4057,56112
Budlong Woods,,,,8152,7413,9462,8129,7127,8706,8346,9462,7931,8151,7785,7057,97721
Douglass,,,,1739,1373,1667,1258,1180,1340,1446,1583,684,1064,1189,1030,15553
Vodak-East Side,,,,3485,3140,3765,3465,3074,3417,3845,4066,3714,3858,3222,2650,41701
