branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
"Whitney M. Young, Jr.",415 E. 79th St.,Chicago,60619.0,1781,1655,1094,0,0,403,840,767,867,833,826,644,9710
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,1084,1084,963,0,0,465,805,875,889,946,712,736,8559
Albany Park,3401 W. Foster Ave.,Chicago,60625.0,7062,6338,3957,0,0,3130,5015,5095,4810,4807,4738,4295,49247
Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,2531,2244,1798,0,0,917,1466,1349,1543,1935,1407,1609,16799
Brainerd,1350 W. 89th St.,Chicago,60620.0,583,450,314,0,0,139,288,382,364,488,258,311,3577
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,6094,4772,3772,0,0,2792,4465,3772,4188,4486,4208,4134,42683
Little Italy,1336 W. Taylor St.,Chicago,60607.0,5351,4915,3249,0,0,2876,3969,3816,3728,3814,3727,2341,37786
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,8446,6924,5378,0,2,4591,7465,7083,6899,6664,4243,6304,63999
Kelly,6151 S. Normal Blvd.,Chicago,60621.0,933,773,561,0,0,291,307,365,317,417,250,284,4498
Edgewater,6000 N. Broadway St.,Chicago,60660.0,14221,13235,9551,0,35,6613,10245,9833,9739,10487,9853,9758,103570
Near North,310 W. Division St.,Chicago,60610.0,8411,7896,4181,0,0,5435,8240,8014,8163,8189,7204,6765,72498
Canaryville,642 W. 43rd St.,Chicago,60609.0,1538,1571,984,0,6,0,0,0,0,21,0,0,4120
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,4460,4534,3439,0,0,2480,3809,3545,3804,4125,3450,3399,37045
Manning,6 S. Hoyne Ave.,Chicago,60612.0,1728,1597,0,0,0,0,0,0,0,0,0,0,3325
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,5674,4989,3519,0,0,2184,3091,3544,3445,3634,3233,2949,36262
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,1265,1021,768,0,0,424,624,509,592,524,395,617,6739
Scottsdale,4101 W. 79th St.,Chicago,60652.0,1890,1661,1246,0,1,658,1059,1051,1013,1164,960,947,11650
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,360,271,148,0,0,0,0,0,23,1,141,165,1109
West Lawn,4020 W. 63rd St.,Chicago,60629.0,3340,2954,1835,0,0,897,1197,1345,1617,1535,1313,963,16996
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,1889,1847,1541,0,0,570,798,818,1087,1026,857,718,11151
Rogers Park,6907 N. Clark St.,Chicago,60626.0,8713,8311,5421,1,5,4386,7040,7083,7252,7167,3328,6867,65574
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,3964,3688,2942,0,0,1749,2711,2813,2934,2797,2528,2347,28473
King,3436 S. King Dr.,Chicago,60616.0,2157,1770,1276,0,0,135,982,872,960,1057,876,1060,11145
Water Works,163 E. Pearson St.,Chicago,60611.0,5122,4327,3085,0,0,0,0,0,0,0,0,0,12534
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,2800,2600,1643,0,0,1213,1310,1656,1598,1640,1237,1268,16965
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,4333,4248,3380,0,0,1815,2991,3186,3462,5922,3748,3161,36246
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,30141,28385,19560,0,1,14566,22356,22163,22489,22846,22776,21181,226464
