branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,,,,10905,10989,12333,11987,9796,11707,11878,12190,10830,12446,11864,8933,135858
Altgeld,,,,678,568,509,525,405,400,333,600,532,537,389,388,5864
Archer Heights,,,,6922,6788,7483,6971,5728,6306,5855,6057,6177,6483,5981,5067,75818
Austin,,,,1984,1901,1885,1847,1566,1776,1786,1919,1638,1693,1772,1505,21272
Austin-Irving,,,,9778,10030,11160,10556,8512,10115,10368,10589,9482,9949,9058,8423,118020
Avalon,,,,4274,3874,3986,4069,3254,3725,4254,4578,3816,3896,4203,3773,47702
Back of the Yards,,,,3222,3923,4341,3711,3183,3416,3457,3321,2845,2950,2893,2240,39502
Beverly,,,,4749,5231,5429,5158,4271,5559,5206,5654,4742,5070,6090,5105,62264
Bezazian,,,,9056,9297,10222,10336,8617,10093,10241,10927,9605,9921,8401,8461,115177
Blackstone,,,,8200,7116,8998,8531,7171,8662,9809,9914,8035,8340,8059,7585,100420
Brainerd,,,,1023,1020,1134,1285,1069,1190,1004,1069,1051,1327,1218,868,13258
Brighton Park,,,,4937,4766,5296,5195,4449,5059,5074,5341,5150,5097,4986,3828,59178
Bucktown-Wicker Park,,,,10498,10382,11725,10507,9409,10515,10398,10874,10235,10082,9993,8836,123454
Budlong Woods,,,,8294,8315,8475,8165,7151,8357,8631,9551,8635,9794,9689,7773,102830
Canaryville,,,,1747,1813,1826,1783,1666,1809,2000,2188,1889,1874,2017,1916,22528
Chicago Bee,,,,1239,1247,1265,1361,1094,1285,1216,1277,1168,1413,1419,1018,15002
Chicago Lawn,,,,3006,3091,3211,3282,2898,2610,3082,3615,2953,3610,3443,2647,37448
Chinatown,,,,12306,11750,12585,12245,10916,11722,11300,11731,11308,12410,11476,10116,139865
Clearing,,,,3416,3311,3940,3765,2966,3472,3561,3523,3195,3705,3573,3305,41732
Coleman,,,,3187,3174,3698,3550,3143,3601,3782,3816,3615,4008,3506,3260,42340
"Daley, Richard J. - Bridgeport",,,,6126,5669,5994,6510,5554,6160,6267,6637,6672,6907,6362,5498,74356
"Daley, Richard M. - W Humboldt",,,,3705,3861,3851,3250,3121,3063,3620,4241,3785,3450,3631,2774,42352
Douglass,,,,1549,650,1479,1481,1341,1666,1438,2069,2062,1862,2076,1670,19343
Dunning,,,,4948,5504,5268,5496,4849,5194,5678,5920,4772,5915,5115,4475,63134
Edgebrook,,,,8288,8645,8784,8447,7487,9437,9882,9725,8484,8281,8014,7093,102567
Edgewater,,,,15197,14477,16531,16210,15069,16548,15672,16289,14611,14857,15042,14080,184583
Gage Park,,,,1655,1883,1919,2056,1644,1783,1807,2039,1976,1758,1915,1438,21873
Galewood-Mont Clare,,,,727,988,1388,1083,847,1147,1001,1146,1096,972,913,887,12195
Garfield Ridge,,,,4599,5007,5427,5555,4201,5559,5277,5313,5199,5726,5366,4605,61834
Greater Grand Crossing,,,,2143,2087,2477,2088,2193,2248,2315,2289,2185,2146,1934,1888,25993
Hall,,,,1420,1260,1392,1292,1192,1223,1408,1425,1373,1337,1411,1084,15817
Harold Washington Library Center,,,,54279,53803,56850,57752,53138,58396,58091,60975,55423,58067,53671,49632,670077
Hegewisch,,,,2591,2547,2696,2559,1888,2471,2655,2682,2168,2327,2406,1845,28835
Humboldt Park,,,,5914,6300,6556,6313,4976,5840,6063,6393,5425,5711,5768,4951,70210
Independence,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Park,,,,7867,7545,8321,8492,7115,8347,8321,8550,8162,8299,8089,6257,95365
Jeffery Manor,,,,800,974,1274,1114,914,1134,1038,1081,938,1035,1117,925,12344
Kelly,,,,772,954,1110,896,929,835,706,1045,1055,965,1095,945,11307
King,,,,2389,2663,2996,2617,2484,2646,2585,3254,3249,3021,2662,2428,32994
Legler Regional,,,,1347,1403,1345,1363,1421,1143,1088,1548,1273,1555,1353,1190,16029
Lincoln Belmont,,,,12539,11896,13617,13507,11329,13925,14044,14188,13434,13651,13082,11630,156842
Lincoln Park,,,,8095,7939,9897,9412,8182,9779,10733,10134,9282,9564,9572,8798,111387
Little Village,,,,6099,6100,6747,6582,4741,5212,5171,5940,5535,6046,5506,4564,68243
Logan Square,,,,9726,10300,11552,11530,9632,10956,10741,11179,10772,10794,10653,9316,127151
Lozano,,,,5591,6066,5853,5861,4872,4799,5208,5089,4409,4752,4317,4309,61126
Manning,,,,2137,2502,3042,2572,2139,2591,3037,2793,2560,2356,2875,2404,31008
Mayfair,,,,4661,4696,5249,4835,4062,5454,5193,5565,5164,5405,5015,4383,59682
McKinley Park,,,,5696,6202,6409,6285,5333,5811,6082,6412,6296,6667,6229,5585,73007
Merlo,,,,7410,7119,8659,8904,7352,8670,8332,8606,8268,8292,8066,7078,96756
Mount Greenwood,,,,5297,5520,5710,6299,5352,6632,6954,6514,5397,5486,5228,4529,68918
Near North,,,,8783,8742,9451,9686,9010,9985,9931,10377,9988,10046,9724,8588,114311
North Austin,,,,1396,1570,1477,1550,1492,1655,1775,2162,1456,1843,1716,1610,19702
North Pulaski,,,,3415,3550,3673,3907,3463,3873,4226,4908,3695,3891,3861,3301,45763
Northtown,,,,7994,7970,8388,8348,8080,7442,8985,10109,7856,9335,8669,7354,100530
Oriole Park,,,,6803,6658,6851,6991,5581,6869,6763,7177,6547,7229,6363,5245,79077
Portage-Cragin,,,,7196,6910,7282,7606,5823,6802,7008,8158,6736,8000,8114,6672,86307
Pullman,,,,1314,1192,1322,1333,1233,1439,1326,1758,1380,1558,1279,1210,16344
Roden,,,,6067,5615,6397,6084,5048,6701,7141,7117,5853,6549,5860,5167,73599
Rogers Park,,,,10541,10951,11499,11884,9773,11644,11520,12466,10765,10508,10315,9356,131222
Roosevelt,,,,4776,5324,5432,5585,4439,5682,5639,5741,5092,5326,5108,4556,62700
Scottsdale,,,,2846,2854,2829,3138,2572,2762,3134,3433,3288,3349,3010,2273,35488
Sherman Park,,,,819,757,915,863,658,727,922,1317,930,925,907,781,10521
South Chicago,,,,2356,2254,2372,2597,2298,2493,2611,2995,2705,2849,2697,1992,30219
South Shore,,,,2704,3004,3194,3199,3064,3312,3316,3739,3283,3546,3208,2560,38129
Sulzer Regional,,,,38192,37214,38751,37431,35532,38990,38336,40387,35083,17577,27045,27483,412021
Thurgood Marshall,,,,2444,2587,2477,2736,2348,2837,2700,2935,2667,2744,2699,2066,31240
Toman,,,,6443,6099,6443,6450,5139,5558,6131,5656,5384,5938,5942,5204,70387
