branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,230,262,284,283,188,263,502,524,515,510,516,532,4609
"Whitney M. Young, Jr.",415 E. 79th St.,Chicago,60619.0,674,579,772,651,619,648,835,713,660,703,602,585,8041
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,1891,1810,2255,2429,2264,2207,2150,1960,2021,2257,1970,1788,25002
Beverly,1962 W. 95th St.,Chicago,60643.0,3164,2673,1250,0,18,1979,3365,3149,3069,2887,2806,2601,26961
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,2341,2131,2628,2690,2049,2432,2505,2377,2259,2054,2099,1778,27343
Manning,6 S. Hoyne Ave.,Chicago,60612.0,574,652,1026,924,1185,1063,1401,1218,1080,976,972,798,11869
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,7234,6544,7336,7355,6531,7217,7174,6970,6616,6126,6129,5785,81017
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,3109,3247,3960,3581,3264,3588,3750,3966,3318,3273,3330,3145,41531
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,2996,2710,3272,2979,2403,3115,3489,3309,2879,3210,3199,2353,35914
Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,1236,1032,1378,1457,1328,1362,1462,1587,1246,1298,1230,951,15567
Edgewater,6000 N. Broadway St.,Chicago,60660.0,10727,9679,11340,10747,9700,10825,11022,10531,9957,9925,10431,9355,124239
South Shore,2505 E. 73rd St.,Chicago,60649.0,836,806,950,953,859,867,927,1035,747,970,863,834,10647
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,453,404,478,392,535,593,729,695,557,492,476,649,6453
Hall,4801 S. Michigan Ave.,Chicago,60615.0,611,532,510,600,732,577,756,783,714,593,421,681,7510
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,771,836,1141,1244,1048,1254,1117,1232,959,989,790,861,12242
