branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,5150 N. Kimball Ave.,Chicago,60625.0,10173,9737,11220,10173,9045,10014,11196,8373,3261,74,15,16,83297
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,674,513,401,631,531,661,809,987,1346,1451,1030,976,10010
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,7855,7682,8151,7703,7704,7294,7735,7886,9076,9679,8793,7698,97256
Austin,5615 W. Race Ave.,Chicago,60644.0,2120,1964,1960,2117,1960,2004,2329,2466,2686,2738,2311,1869,26524
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,12495,12977,13369,12672,11622,13316,13630,13640,14050,14362,13429,11843,157405
Avalon,8148 S. Stony Island Ave. ,Chicago,60617.0,5515,5290,5717,5270,4985,5422,5543,6068,6257,6737,5344,4737,66885
Beverly,1962 W. 95th St.,Chicago,60643.0,7375,7477,8110,7279,6798,8735,8791,8108,7819,7739,6800,5670,90701
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,14238,13819,14949,14142,14328,15243,15999,16184,15233,15893,14405,13423,177856
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,10487,10675,11585,11231,11007,12791,12979,12364,12284,11786,10794,10363,138346
Brainerd,1350 W. 89th St.,Chicago,60620.0,1042,942,1094,1043,945,1164,1296,1517,1491,1650,1367,1262,14813
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,7626,7660,7970,7975,7198,6796,5883,6523,7251,7782,5317,4419,82400
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,13049,12597,14014,13543,13127,14297,14667,15001,14542,15289,13923,11892,165941
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,11676,12629,13609,12872,12148,13227,14047,14325,13998,16145,14722,13356,162754
Canaryville,642 W. 43rd St.,Chicago,60609.0,2765,2923,3217,2951,2921,3296,3208,3514,3660,3984,3465,2867,38771
Chicago Bee,3647 S. State St.,Chicago,60609.0,1457,1294,1412,1355,1227,1350,1461,1612,1660,1907,1603,1327,17665
Chicago Lawn,6120 S. Kedzie Ave. ,Chicago,60629.0,5636,5392,5283,5614,4692,5230,5811,5144,5645,6698,5191,4864,65200
Chinatown,2353 S. Wentworth Ave.,Chicago,60616.0,11358,11577,12632,11580,11398,12458,11861,12327,11881,12399,11320,11767,142558
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,5965,6133,6291,6086,5705,5885,6164,5306,5719,6263,5710,4490,69717
Coleman,731 E. 63rd St.,Chicago,60637.0,2663,2894,2924,2759,2601,2318,2623,3430,3896,4137,3948,3692,37885
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,8266,8156,8601,8065,7837,8051,8610,8632,8103,8255,7600,7314,97490
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,5099,4739,5676,6098,5990,6144,6180,7286,7486,7325,5720,4877,72620
Douglass,3353 W. 13th St.,Chicago,60623.0,2105,1309,2053,1961,2009,2026,2252,2927,2371,3085,2421,1863,26382
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,6666,7562,7920,7604,7270,8223,9309,8151,7490,8482,7312,5714,91703
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,9422,10134,10252,9254,8922,10540,11022,10350,9808,10391,10048,8368,118511
Edgewater,1210 W. Elmdale Ave.,Chicago,60660.0,1301,1280,1544,1415,1289,1397,1112,1369,1267,1417,1339,1068,15798
Gage Park,2807 W. 55th St.,Chicago,60632.0,2970,2953,3080,3164,2524,3120,2347,2887,2895,3478,2904,2706,35028
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,693,611,884,986,866,957,1061,871,939,1005,841,605,10319
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,6738,7099,7154,6416,5574,8139,7802,6381,6618,7317,6840,5266,81344
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,3249,3089,3146,3584,3144,3310,3394,3834,3785,3728,3449,2733,40445
Hall,4801 S. Michigan Ave.,Chicago,60615.0,2547,2200,2636,2666,2592,2458,2719,2574,2665,2847,2497,2058,30459
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,77817,76069,84255,87689,74591,76380,78280,79662,75610,83801,74708,68787,937649
Hegewisch,3048 E. 130th St.,Chicago,60633.0,3441,3265,3776,3336,2783,3257,3151,3218,3159,3416,3290,2588,38680
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,6142,6668,3134,1,0,0,0,0,0,0,0,2,15947
Independence,3548 W. Irving Park Rd.,Chicago,60618.0,9751,9955,10878,10256,9367,10536,10816,10099,10171,10526,10036,9024,121415
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,9463,10198,10643,9542,9519,10624,10742,10160,10297,10998,7735,6016,115937
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,1250,1279,1548,1325,1472,1459,1513,1461,1667,1498,1596,1369,17437
Kelly,6151 S. Normal Boulevard,Chicago,60621.0,1434,1236,1377,1393,1424,1701,1424,1852,1912,1984,1598,1316,18651
King,3436 S. King Dr.,Chicago,60616.0,3102,2880,3196,3380,3506,3393,3400,3656,3832,3708,3461,3131,40645
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,1586,1440,1387,1490,1554,1404,1958,2204,2463,2235,1987,1671,21379
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,14656,15595,17504,15642,15354,17576,17264,17368,16395,17466,15888,13517,194225
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,10819,11211,11651,10310,10612,11875,12169,10617,10583,11567,11159,9310,131883
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,12569,11793,11966,11930,10961,10553,11215,10416,11826,13214,11006,9948,137397
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,12836,12305,14211,13841,13576,14123,14696,15348,14705,15087,13724,12363,166815
Lozano,1805 S. Loomis St.,Chicago,60608.0,5855,5530,6639,6661,6410,6419,7455,7324,6807,7476,6697,5747,79020
Manning,6 S. Hoyne Ave.,Chicago,60612.0,3504,3580,3605,3299,3220,2885,2998,3171,3244,3606,3095,2798,39005
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,5759,6135,6032,5770,4680,5775,6247,5706,6223,6680,6785,6211,72003
McKinley Park,1915 W. 35th St.,Chicago,60609.0,8313,7786,8753,8877,7831,8365,8338,9063,9141,9952,8787,8473,103679
Merlo,644 W. Belmont Ave.,Chicago,60657.0,10454,10329,10786,9634,10050,10522,9944,10999,10311,11052,9875,8268,122224
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,6261,6393,7156,6685,6342,8549,8317,7343,6846,7245,7020,5678,83835
Near North,310 W. Division St.,Chicago,60610.0,12451,12552,13980,12879,12809,13114,12667,13139,12162,13400,12181,10876,152210
North Austin,5724 W. North Ave.,Chicago,60639.0,2036,2205,2278,2580,2378,2506,2625,2728,3228,3079,2478,2145,30266
North Pulaski,4300 W. North Ave.,Chicago,60639.0,4982,4995,5724,5913,5293,5981,6409,6123,6708,6538,5484,5277,69427
Northtown,6435 N. California Ave.,Chicago,60645.0,11650,11308,12224,11526,11485,13196,13931,12269,11646,12662,11932,11319,145148
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,9556,10234,10668,9916,9358,10149,11012,10515,10049,10817,9503,8037,119814
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,9499,9788,9863,9696,9120,9821,10424,10480,10766,10877,8098,6393,114825
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,1903,1720,1784,1976,2067,1937,2211,2487,2861,3086,2014,1837,25883
Roden,6083 N. Northwest Highway,Chicago,60631.0,6258,6993,7570,6815,6431,7796,8515,6950,6247,7032,6706,5795,83108
Rogers Park,6907 N. Clark St.,Chicago,60626.0,15918,15416,17141,15886,15546,17359,17720,17459,17084,17203,15992,14139,196863
Roosevelt,1101 W. Taylor St.,Chicago,60607.0,6364,6958,7654,7085,6900,7909,7905,7037,7299,7314,7182,6136,85743
Scottsdale,4101 W. 79th St.,Chicago,60652.0,4751,4778,4689,4567,3853,4743,5171,4924,4694,4835,3823,3516,54344
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,1550,1543,1801,1452,1445,1501,1620,2081,2250,2310,1813,1622,20988
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,4162,3803,3963,3962,3761,4188,4191,4821,4884,5085,4334,3692,50846
South Shore,2505 E. 73rd St.,Chicago,60649.0,3929,3476,3987,3662,4041,3763,4480,4870,5462,5223,4198,3955,51046
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,51849,50666,53996,52841,48814,51763,55932,52551,50557,52126,50400,43537,615032
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,3145,3242,3157,3244,2612,3253,3250,3691,3781,4274,3631,3245,40525
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,10858,10394,10927,11037,9088,10428,11124,8940,10525,11067,10258,9316,123962
Uptown,929 W. Buena Ave.,Chicago,60613.0,8596,8532,8846,7790,8482,9657,9763,9262,9135,8983,8036,7096,104178
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,5203,5176,5448,4618,4608,4896,5646,6142,6058,6693,5856,5019,65363
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,3688,3704,3780,3371,3571,3869,3747,4147,3832,3984,3742,3289,44724
Water Works,163 E. Pearson St.,Chicago,60611.0,3723,3573,4053,3945,3984,4298,4163,4353,3795,4269,3487,3404,47047
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,9975,10621,10392,10897,9266,10142,11246,10747,10438,10970,10404,8721,123819
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,1675,1336,1416,1668,1335,1635,1841,2236,2700,2847,2155,2143,22987
West Englewood,1745 W. 63rd St.,Chicago,60636.0,1712,1721,1578,1884,1787,1708,1952,2406,3096,3031,2390,2449,25714
West Lawn,4020 W. 63rd St.,Chicago,60629.0,7724,7338,8021,7676,6261,6613,7470,7068,8123,8898,7284,6697,89173
West Pullman,830 W. 119th St.,Chicago,60643.0,2973,2862,3000,3300,3339,3390,3411,3876,4303,4613,3903,3295,42265
