branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,3401 W. Foster Ave.,Chicago,60625.0,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924,93009
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,378,326,332,270,320,325,354,229,234,377,369,500,4014
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025
Austin,5615 W. Race Ave.,Chicago,60644.0,215,590,706,736,806,983,1134,1236,1193,1361,1286,1082,11328
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,9678,9764,10845,10541,9763,11442,11634,11063,9379,9932,8567,6492,119100
Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465
Beverly,1962 W. 95th St.,Chicago,60643.0,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,8524,7113,8426,8151,8319,7785,8873,9245,8064,8695,7625,7536,98356
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577,99833
Brainerd,1350 W. 89th St.,Chicago,60620.0,677,623,649,837,878,969,720,850,897,841,659,604,9204
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,8892,8935,9106,8191,7487,7449,8624,8233,7203,7790,7191,6498,95599
Canaryville,642 W. 43rd St.,Chicago,60609.0,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111
Chicago Bee,3647 S. State St.,Chicago,60609.0,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,2521,2415,2883,3005,2712,2618,3362,3220,2381,4,1624,1901,28646
Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,8235,7775,9347,8221,8037,8501,8711,9063,7789,7748,7175,6707,97309
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,2534,2530,2557,2565,2800,2628,3158,3106,2594,588,958,1941,27959
Coleman,731 E. 63rd St.,Chicago,60637.0,2291,2446,2394,2464,2153,2517,2374,2244,26,1034,1675,1588,23206
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,5280,4497,5730,5508,5332,5140,5897,5438,4696,5175,5016,3980,61689
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,2492,2471,2734,2525,2348,2471,2453,2302,2753,3317,2655,2493,31014
Douglass,3353 W. 13th St.,Chicago,60623.0,0,0,4,0,0,0,0,0,0,2,423,821,1250
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183,48246
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,8719,8489,9174,8587,8264,9335,10893,10515,8092,8733,7434,6568,104803
Edgewater,6000 N. Broadway St.,Chicago,60660.0,14294,13730,14560,14545,13342,14701,16253,16822,13737,14577,13183,11655,171399
Gage Park,2807 W. 55th St.,Chicago,60632.0,1012,825,1048,1055,898,1082,1513,1140,1117,1950,1365,1097,14102
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,749,640,856,760,783,826,856,741,923,816,649,557,9156
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,4409,4318,4643,4517,4164,4622,5448,4765,3661,5170,4220,3250,53187
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,1087,1054,1424,1267,1409,1463,2066,1605,1984,1556,1220,1129,17264
Hall,4801 S. Michigan Ave.,Chicago,60615.0,1075,1028,1323,1207,1138,1382,1690,1651,1837,1573,1150,1131,16185
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,48072,46112,52568,49554,48041,47580,51624,52012,48078,50636,44604,42270,581151
Hegewisch,3048 E. 130th St.,Chicago,60633.0,1688,1573,1733,1509,1347,1566,1805,1495,1340,1840,1554,1602,19052
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914,56569
Independence,4024 N. Elston Ave.,Chicago,60618.0,2293,6993,8700,7706,6668,8554,9449,9876,7103,8396,7125,5592,88455
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,4148,94,0,0,0,0,0,0,0,9,2642,4913,11806
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,632,603,632,659,503,649,791,951,927,1041,729,657,8774
Kelly,6151 S. Normal Blvd.,Chicago,60621.0,1048,730,711,847,906,1070,1235,1117,932,862,825,833,11116
King,3436 S. King Dr.,Chicago,60616.0,1713,1464,1733,1679,1598,1813,1804,1703,1891,2171,1985,1757,21311
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,769,767,701,723,1039,928,1240,1281,1045,79,0,0,8572
