branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,,,,10889,8875,11000,11463,9640,11323,12627,12170,10949,11889,11485,11056,133366
Altgeld,,,,608,261,456,506,448,519,712,477,571,705,609,510,6382
Archer Heights,,,,6859,5862,7422,7683,6471,6651,7269,7001,6543,7845,6869,6317,82792
Austin,,,,1850,1603,1638,1904,1660,2093,2139,1919,1674,1939,1966,2057,22442
Austin-Irving,,,,10545,8435,10773,9990,9385,10784,11624,11158,10160,10856,9628,8997,122335
Avalon,,,,4318,3296,4231,4271,4045,4549,4330,4259,4216,4396,3832,3366,49109
Back of the Yards,,,,3810,2711,3748,4157,3687,4336,4600,3916,4189,4657,3852,3192,46855
Beverly,,,,5331,4353,5645,5513,4902,5873,6351,5492,5307,5852,5009,4914,64542
Bezazian,,,,9967,8813,9820,10393,9943,10194,10277,10108,9648,9986,9098,9459,117706
Blackstone,,,,8237,7104,8245,9179,8338,9675,9674,9419,8087,8328,7500,7397,101183
Brainerd,,,,1205,1113,1145,1244,1036,1372,1328,1201,1280,1263,1015,1340,14542
Brighton Park,,,,5933,4502,5024,6075,4955,5400,6814,6264,5502,6338,5217,4805,66829
Bucktown-Wicker Park,,,,9949,9184,10637,10528,9933,10583,11222,12098,10473,10568,9290,9623,124088
Budlong Woods,,,,9868,7965,9414,8922,7915,9277,9833,9402,8962,9313,8624,8259,107754
Canaryville,,,,1712,1484,1888,2062,1997,2246,2122,2193,1614,2078,1652,1821,22869
Chicago Bee,,,,1556,1493,1600,1685,1327,1827,1863,1650,1555,1727,1266,1256,18805
Chicago Lawn,,,,3626,2706,3675,4185,3218,3852,3855,3652,3789,4758,3836,3786,44938
Chinatown,,,,7793,5685,6730,7786,6451,26,0,3208,15633,14866,12395,12530,93103
Clearing,,,,4196,3383,4494,3978,3894,4263,4517,4052,4070,4010,3640,3565,48062
Coleman,,,,3970,2538,2501,3133,3187,3484,3842,4061,3849,3860,3324,2963,40712
"Daley, Richard J. - Bridgeport",,,,6531,5314,6267,7054,6655,8881,8563,8560,6408,6844,5896,6154,83127
"Daley, Richard M. - W Humboldt",,,,3699,2818,3292,3513,3140,3555,3569,3513,3276,3796,3530,3492,41193
Douglass,,,,1472,1201,1367,1500,1418,1794,1987,1903,1953,1998,1543,1481,19617
Dunning,,,,5623,4993,6015,5472,4477,5600,5493,5905,5296,5594,5358,4248,64074
Edgebrook,,,,8963,7189,8748,8641,7611,9684,10532,9055,8245,8750,8340,7674,103432
Edgewater,,,,15090,12919,15173,16196,14274,16848,17857,17136,16573,16172,14206,14169,186613
Gage Park,,,,1789,1411,1927,2062,1729,1904,2062,1807,1919,2133,1988,1871,22602
Galewood-Mont Clare,,,,776,717,1033,916,796,1148,1122,1057,1183,1095,749,646,11238
Garfield Ridge,,,,4731,4652,5764,5855,4714,6020,6250,5699,5363,6315,5520,4529,65412
Greater Grand Crossing,,,,2163,1800,2243,2508,2094,2341,2521,2540,2342,2762,2232,2137,27683
Hall,,,,1871,1381,1451,1631,1608,1864,1996,1841,1843,1757,1604,1408,20255
Harold Washington Library Center,,,,57771,51637,62461,58951,54765,61035,64019,62991,56303,58265,54766,51564,694528
Hegewisch,,,,2460,2269,2453,2598,2428,2868,3223,2908,2707,2837,2636,2372,31759
Humboldt Park,,,,6054,5075,6254,6522,5716,6980,7192,7275,6516,7127,6303,5264,76278
Independence,,,,6871,5778,6984,7599,6334,7424,8109,8025,6888,6931,0,0,70943
Jefferson Park,,,,7578,6150,7647,8178,7272,8521,9219,8633,8361,8421,7793,7293,95066
Jeffery Manor,,,,1069,799,919,908,876,1045,1141,1041,1259,970,859,777,11663
Kelly,,,,993,946,1187,1189,1125,1187,1134,1325,1111,1055,910,759,12921
King,,,,2571,1975,2410,2952,2815,3404,3219,2953,2768,3150,2925,2483,33625
Legler Regional,,,,1236,909,1183,1344,796,1096,1613,1557,1630,1700,1437,1383,15884
Lincoln Belmont,,,,13005,9908,12469,12915,12685,14171,14528,13486,12675,12446,11966,11372,151626
Lincoln Park,,,,9093,7861,10067,9204,8638,10083,10356,9552,9106,8905,8364,3286,104515
Little Village,,,,7203,5905,6659,7316,5704,6978,7145,6153,6532,7045,5977,5569,78186
Logan Square,,,,11458,8794,10796,11215,9676,11176,11885,10801,10475,10928,10609,9667,127480
Lozano,,,,5180,4621,5461,5601,4514,5311,5915,5288,5200,5602,5388,4609,62690
Manning,,,,2834,2391,2893,2578,2814,2704,2961,2957,2845,3224,2612,2482,33295
Mayfair,,,,4118,3536,4681,4694,3993,5068,5427,4352,4389,4360,5217,4399,54234
McKinley Park,,,,6486,4879,6079,6490,5353,6435,6539,5957,6149,6559,6033,5676,72635
Merlo,,,,7307,6175,8095,8081,6803,7904,8435,8022,7514,8224,7393,7521,91474
Mount Greenwood,,,,5938,5258,6002,5454,5678,7862,7805,6535,6084,6648,5313,4929,73506
Near North,,,,9793,7934,8700,8882,8182,9804,10163,10144,9217,9539,8789,9145,110292
North Austin,,,,1920,1766,1698,1812,1894,2036,2114,2069,1809,1684,1600,1402,21804
North Pulaski,,,,3629,2829,3372,3685,3070,3881,4307,4226,3796,4167,3700,3524,44186
Northtown,,,,8347,7186,8224,8767,8508,10013,10736,10126,8627,10117,8682,8771,108104
