branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Albany Park,5150 N. Kimball Ave.,Chicago,60625.0,0,0,0,0,0,0,0,74,119,126,159,94,572
Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,871,722,754,620,675,614,873,816,892,993,797,891,9518
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,8747,7676,8630,7910,7270,6774,8164,7154,7539,8791,8300,6899,93854
Austin,5615 W. Race Ave.,Chicago,60644.0,2038,1744,1865,2100,1718,1926,2300,1734,1990,2205,1777,1550,22947
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,12945,11684,13635,12639,11645,11793,14335,12022,11679,12298,12604,9664,146943
Avalon,8148 S. Stony Island Ave. ,Chicago,60617.0,4962,4488,4856,4912,5129,5360,5718,5066,4672,5105,4827,3620,58715
Back of the Yards,2111 W. 47th St.,Chicago,60609.0,0,0,0,0,0,0,0,588,5207,5660,5077,4169,20701
Beverly,1962 W. 95th St.,Chicago,60643.0,6771,6004,7191,6921,6127,7436,8502,7246,6306,6951,6531,5056,81042
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,13614,11636,14450,14738,14729,14875,14676,13230,11514,12018,11493,9871,156844
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,10873,9516,11640,11046,11059,11303,12408,11680,10291,10851,10723,8352,129742
Brainerd,1350 W. 89th St.,Chicago,60620.0,1231,983,1110,1130,1087,1190,1343,1225,1203,1321,1128,1080,14031
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,6577,5764,7347,6344,5460,5691,7478,6374,6214,7453,6822,5313,76837
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,13786,11999,13805,12653,10881,12226,12772,12213,11530,11786,10884,9205,143740
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,13938,12107,13763,13155,12122,13612,15444,13270,11652,12706,12072,10244,154085
Canaryville,642 W. 43rd St.,Chicago,60609.0,3157,2592,3013,2771,2697,3166,3199,2775,2749,3192,2520,2227,34058
Chicago Bee,3647 S. State St.,Chicago,60609.0,1257,1271,1292,1318,1218,1376,1463,1388,1336,1717,1492,1489,16617
Chicago Lawn,6120 S. Kedzie Ave. ,Chicago,60629.0,5246,4141,5221,4795,4433,4994,6171,5105,5578,6730,5817,4610,62841
Chinatown,2353 S. Wentworth Ave.,Chicago,60616.0,11694,9478,12030,10980,10620,9953,10805,10524,8937,9885,9869,9114,123889
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,5465,4777,5783,5093,4443,4788,5280,4904,4962,4858,4764,3533,58650
Coleman,731 E. 63rd St.,Chicago,60637.0,3940,3031,3373,3351,3410,3380,3665,3514,3514,4129,3550,3242,42099
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,7969,6333,7567,7245,6959,7910,8573,8094,6854,7542,7113,5907,88066
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,5735,4608,4988,4878,4298,4460,4907,4864,4626,5477,4823,3682,57346
Douglass,3353 W. 13th St.,Chicago,60623.0,2302,2728,2170,2178,1952,2129,2513,2508,2335,2410,2436,1900,27561
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,6725,6463,7259,6794,6436,7371,8088,7067,6874,7677,6833,4877,82464
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,9881,8898,10046,9486,8540,9442,11177,9588,9007,8827,9090,7711,111693
Edgewater,1210 W. Elmdale Ave.,Chicago,60660.0,1300,1186,1362,1304,328,8509,23446,21375,17177,18619,16799,13948,125353
Gage Park,2807 W. 55th St.,Chicago,60632.0,3043,1807,2628,2434,2186,1908,2975,2680,2267,2469,2744,2251,29392
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,764,662,1070,2917,874,830,1225,1022,787,971,892,745,12759
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,6566,5842,6761,6690,5762,6380,7216,5965,5974,6946,6225,4792,75119
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,3053,2490,2764,3208,2708,2866,3391,3026,3216,3019,2867,2351,34959
Hall,4801 S. Michigan Ave.,Chicago,60615.0,2348,2018,2209,2337,2148,2397,2349,2338,2269,2485,2329,1727,26954
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,73367,67611,73344,71827,68327,67420,73830,68605,65579,69481,64274,58084,821749
Hegewisch,3048 E. 130th St.,Chicago,60633.0,2898,2975,3525,3166,2641,2722,3284,3204,2949,2956,3369,2420,36109
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,25,3220,6407,6385,5484,6083,7826,6784,6542,7355,6347,5491,67949
Independence,3548 W. Irving Park Rd.,Chicago,60618.0,9589,8259,10386,9483,8529,9440,11135,9933,9009,9302,9112,7399,111576
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,8568,7634,9058,8266,7751,8598,9745,8621,8173,9586,8486,6783,101269
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,1426,1236,1333,1248,1241,1222,1446,1475,1331,1331,1150,904,15343
Kelly,6151 S. Normal Boulevard,Chicago,60621.0,1413,1113,1038,1237,1234,1456,1837,1323,1190,1548,1379,1159,15927
King,3436 S. King Dr.,Chicago,60616.0,3209,2903,3601,3305,3176,3384,3473,3410,3260,3463,3531,2701,39416
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,1784,1582,1752,1693,1482,1482,1637,1467,1618,1749,1565,1400,19211
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,15530,14001,16559,14995,14082,15294,16190,15566,13378,14840,14024,10845,175304
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,10849,9890,11036,10703,9646,10631,11133,10378,9293,10253,9938,7925,121675
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,10344,9170,10438,9690,8211,7998,9187,7822,8218,8954,8852,6432,105316
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,13371,11297,13201,12846,11234,11070,11532,11706,11254,12487,12388,9090,141476
Lozano,1805 S. Loomis St.,Chicago,60608.0,6057,5744,7227,6574,5764,6003,7075,6110,5828,6687,6232,5255,74556
Manning,6 S. Hoyne Ave.,Chicago,60612.0,3158,2765,2722,2726,2465,2405,2885,2678,2789,3286,2679,2383,32941
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,6375,5928,7174,7220,6524,6352,7510,6348,6404,6848,6400,5233,78316
McKinley Park,1915 W. 35th St.,Chicago,60609.0,9082,7355,8613,8044,6823,7343,9076,7396,7061,7174,6910,6135,91012
Merlo,644 W. Belmont Ave.,Chicago,60657.0,9414,8452,9996,9559,9046,9086,9097,8733,8214,9043,8567,6943,106150
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,7123,6099,6863,6947,6078,7630,8768,7255,7048,7330,6789,5681,83611
Near North,310 W. Division St.,Chicago,60610.0,12495,10739,12253,11625,11120,11743,12770,12041,10700,11195,10644,9344,136669
North Austin,5724 W. North Ave.,Chicago,60639.0,2079,1871,2051,2108,1757,2173,2488,2252,2277,2461,2131,1894,25542
North Pulaski,4300 W. North Ave.,Chicago,60639.0,5113,4508,5293,4805,3812,4559,5048,4905,4426,4674,4264,3925,55332
Northtown,6435 N. California Ave.,Chicago,60645.0,11411,10371,11090,11166,11555,11294,13323,11468,10788,12196,11103,9741,135506
